1,LAX,Los Angeles International,Los Angeles,CA,396.06,412.47," 213,036 "
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,413.32,430.45," 193,949 "
3,DEN,Denver International,Denver,CO,334.47,348.33," 173,912 "
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,404.58,421.35," 168,920 "
5,BOS,Logan International,Boston,MA,373.98,389.48," 165,837 "
6,SFO,San Francisco International,San Francisco,CA,406.03,422.86," 151,323 "
7,MSP,Minneapolis-St Paul International,Minneapolis,MN,425.44,443.08," 140,733 "
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,427.86,445.60," 140,108 "
9,SEA,Seattle/Tacoma International,Seattle,WA,368.64,383.92," 139,338 "
10,LGA,LaGuardia,New York-La Guardia,NY,383.06,398.94," 137,063 "
11,JFK,John F. Kennedy International,New York-JFK,NY,430.55,448.40," 136,927 "
12,EWR,Newark Liberty International,Newark,NJ,482.12,502.11," 126,974 "
13,PHX,Phoenix Sky Harbor International,Phoenix,AZ,349.72,364.21," 121,560 "
14,PHL,Philadelphia International,Philadelphia,PA,414.00,431.16," 114,239 "
15,DTW,Detroit Metro Wayne County,Detroit,MI,416.21,433.46," 112,111 "
16,LAS,McCarran International,Las Vegas,NV,263.10,274.00," 110,395 "
17,MCO,Orlando International,Orlando,FL,317.82,330.99," 105,068 "
18,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,329.70,343.37," 101,236 "
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,296.34,308.63," 95,594 "
20,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,383.93,399.84," 90,936 "
21,SAN,San Diego International,San Diego,CA,355.45,370.18," 86,960 "
22,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,494.10,514.58," 81,935 "
23,TPA,Tampa International,Tampa,FL,335.60,349.51," 81,311 "
24,PDX,Portland International,Portland,OR,347.93,362.35," 78,141 "
25,MDW,Chicago Midway International,Chicago-Midway,IL,330.82,344.54," 77,612 "
26,CLT,Charlotte Douglas International,Charlotte,NC,433.37,451.33," 63,784 "
27,STL,St Louis Lambert International,St. Louis,MO,376.17,391.76," 63,644 "
28,OAK,Metropolitan Oakland International,Oakland,CA,293.96,306.15," 61,208 "
29,SLC,Salt Lake City International,Salt Lake City,UT,429.40,447.20," 58,843 "
30,MCI,Kansas City International,Kansas City,MO,382.31,398.16," 57,286 "
31,AUS,Austin - Bergstrom International,Austin,TX,386.35,402.36," 56,725 "
32,HNL,Daniel K Inouye International,Honolulu,HI,343.10,357.32," 55,246 "
33,SMF,Sacramento International,Sacramento,CA,358.95,373.83," 53,973 "
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,314.80,327.85," 52,544 "
35,RDU,Raleigh-Durham International,Raleigh/Durham,NC,372.50,387.94," 52,457 "
36,MKE,General Mitchell International,Milwaukee,WI,356.73,371.51," 51,807 "
37,BNA,Nashville International,Nashville,TN,376.75,392.37," 50,456 "
38,MIA,Miami International,Miami,FL,413.24,430.37," 50,447 "
39,IND,Indianapolis International,Indianapolis,IN,396.66,413.10," 50,142 "
40,PIT,Pittsburgh International,Pittsburgh,PA,392.86,409.15," 49,787 "
41,SNA,John Wayne Airport-Orange County,Santa Ana,CA,363.72,378.79," 49,250 "
42,IAD,Washington Dulles International,Washington-Dulles,DC,499.05,519.74," 47,514 "
43,HOU,William P Hobby,Houston-Hobby,TX,348.98,363.44," 46,999 "
44,CMH,John Glenn Columbus International,Columbus,OH,405.78,422.60," 44,074 "
45,BDL,Bradley International,Hartford,CT,376.61,392.22," 43,883 "
46,CLE,Cleveland-Hopkins International,Cleveland,OH,458.14,477.13," 42,049 "
47,DAL,Dallas Love Field,Dallas-Love Field,TX,292.04,304.15," 40,965 "
48,MSY,Louis Armstrong New Orleans International,New Orleans,LA,358.45,373.30," 40,720 "
49,RSW,Southwest Florida International,Fort Myers,FL,319.09,332.32," 39,332 "
50,SAT,San Antonio International,San Antonio,TX,389.07,405.20," 38,107 "
51,BUF,Buffalo Niagara International,Buffalo,NY,336.99,350.96," 36,209 "
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,349.51,364.00," 33,004 "
53,SJU,Luis Munoz Marin International,San Juan,PR,315.55,328.63," 28,405 "
54,JAX,Jacksonville International,Jacksonville,FL,382.71,398.58," 28,166 "
55,OMA,Eppley Airfield,Omaha,NE,392.38,408.65," 28,071 "
56,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,514.41,535.74," 27,943 "
57,BUR,Bob Hope,Burbank,CA,275.43,286.84," 27,318 "
58,ONT,Ontario International,Ontario,CA,328.92,342.55," 27,091 "
59,PVD,Theodore Francis Green State,Providence,RI,340.61,354.73," 27,035 "
60,ABQ,Albuquerque International Sunport,Albuquerque,NM,362.10,377.11," 23,362 "
61,RIC,Richmond International,Richmond,VA,406.09,422.92," 21,581 "
62,OKC,Will Rogers World,Oklahoma City,OK,411.08,428.12," 21,051 "
63,SDF,Louisville International-Standiford Field,Louisville,KY,406.80,423.66," 20,020 "
64,SFB,Orlando Sanford International,Sanford,FL,119.05,123.99," 19,628 "
65,MEM,Memphis International,Memphis,TN,448.79,467.39," 19,396 "
66,GEG,Spokane International,Spokane,WA,370.67,386.04," 18,590 "
67,GRR,Gerald R. Ford International,Grand Rapids,MI,426.94,444.63," 18,509 "
68,ORF,Norfolk International,Norfolk,VA,390.76,406.95," 18,328 "
69,TUS,Tucson International,Tucson,AZ,379.41,395.13," 17,830 "
70,ROC,Greater Rochester International,Rochester,NY,366.25,381.44," 17,762 "
71,ALB,Albany International,Albany,NY,427.05,444.75," 17,468 "
72,BOI,Boise Air Terminal,Boise,ID,390.81,407.01," 16,980 "
73,DAY,James M Cox/Dayton International,Dayton,OH,388.77,404.88," 16,939 "
74,DSM,Des Moines International,Des Moines,IA,391.89,408.13," 16,894 "
75,LGB,Long Beach Airport,Long Beach,CA,234.98,244.72," 16,613 "
76,MHT,Manchester-Boston Regional,Manchester,NH,363.30,378.36," 16,291 "
77,ANC,Ted Stevens Anchorage International,Anchorage,AK,556.85,579.94," 15,888 "
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,442.89,461.25," 15,874 "
79,TUL,Tulsa International,Tulsa,OK,433.31,451.27," 15,868 "
80,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,132.62,138.12," 15,707 "
81,RNO,Reno/Tahoe International,Reno,NV,357.40,372.22," 15,574 "
82,ELP,El Paso International,El Paso,TX,381.52,397.33," 14,994 "
83,OGG,Kahului Airport,Kahului,HI,286.32,298.19," 14,911 "
84,SYR,Syracuse Hancock International,Syracuse,NY,407.52,424.41," 14,277 "
85,CAK,Akron-Canton Regional,Akron,OH,328.42,342.04," 13,764 "
86,CHS,Charleston AFB/International,Charleston,SC,395.22,411.60," 13,152 "
87,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,402.84,419.54," 12,472 "
88,HPN,Westchester County,White Plains,NY,395.48,411.87," 12,300 "
89,BLI,Bellingham International,Bellingham,WA,218.38,227.43," 11,648 "
90,ISP,Long Island MacArthur,Islip,NY,288.66,300.63," 11,560 "
90,PIE,St Pete Clearwater International,St. Petersburg,FL,120.46,125.45," 11,560 "
92,MSN,Dane County Regional-Truax Field,Madison,WI,496.38,516.96," 11,300 "
93,GSP,Greenville-Spartanburg International,Greenville-Spartanburg,SC,400.78,417.39," 10,999 "
94,PWM,Portland International Jetport,Portland,ME,393.95,410.28," 10,942 "
95,GSO,Piedmont Triad International,Greensboro/High Point,NC,427.94,445.68," 10,386 "
