LAX,380,378.55,399.16,391.31,407.25,377.36
ORD,390,388.95,382.13,370.96,373.97,379.33
ATL,350,347.38,375.79,315.55,328.7,365.41
DEN,315,315.92,317.77,359.74,378.08,320.96
BOS,360,360.27,361.9,400.73,353.42,392.29
SFO,345,345.2,415.89,406.57,418.73,377.89
DFW,385,383.18,414.73,342.99,420.88,394.06
SEA,385,386.31,369.95,368.26,367.9,359.65
LGA,430,431.15,354.67,340.61,396.23,449.42
JFK,350,348.99,396.85,387.2,361.3,367.14
PHX,415,413.21,326.69,316.6,324.23,454.39
EWR,320,321.1,469.31,314.12,321.95,326.75
BWI,365,366.03,334.31,467.03,382.32,470.78
PHL,470,469.82,388.72,383.63,473.62,406.03
MCO,365,363.51,279.78,262.77,274.23,404.77
DTW,305,304.15,385.09,268.44,424.77,330.25
MSP,265,267.39,405.96,406.85,386.58,289.39
LAS,270,269.49,284.54,352.49,354.66,282.90
FLL,275,274.12,266.38,379.09,266.88,267.31
SAN,335,333.59,357.67,256.42,269.21,336.35
DCA,300,298.07,386.43,468.95,381.16,298.23
IAH,380,378.22,472.76,369.97,313.94,390.59
TPA,475,476.6,309.84,305.39,289.99,334.33
MDW,305,306.13,307.33,288.33,370.76,357.43
PDX,355,353.33,378.77,372.28,493.87,504.58
STL,330,331.76,342.46,337.14,339.62,359.11
MCI,330,330.8,334.93,320.52,286.56,340.76
CLT,275,275.57,394.17,306.85,332.85,277.62
SMF,280,280.78,356.15,393.52,371.97,398.07
OAK,400,392.01,310.45,347.75,396.57,428.27
SLC,320,317.09,376.19,467.66,344.54,329.13
IAD,375,374.69,474.92,366.17,346.69,313.35
RDU,325,323.13,344.57,362.77,473.84,332.70
PIT,465,464.57,339.37,335.5,376.15,359.34
AUS,335,332.5,371.82,333.13,365.91,485.35
SJC,325,326.56,336.93,363.08,328.73,359.07
MKE,325,325.29,309.09,366.11,342.49,386.79
HNL,300,299.64,364.64,337.1,303.82,374.29
SNA,400,359.22,364.77,308.11,359.41,308.08
IND,335,336.92,367.62,355.62,304.23,367.95
BNA,350,350.7,365.19,348.81,352.61,312.02
HOU,335,333.72,315.31,285.18,370.56,348.04
SAT,300,299.12,356.49,357.69,350.71,386.18
MIA,370,372.79,353.59,345.09,362.39,370.07
CMH,365,364.7,353.18,345.23,353.74,398.03
BDL,410,407.59,390.46,327.7,343.14,367.48
MSY,345,346.25,343.71,378.2,388.91,281.69
CLE,310,309.97,428.26,275.95,277,341.69
BUF,275,273.19,324.24,313.15,431.43,449.90
DAL,325,325.31,285.48,423.5,320.13,359.61
SJU,275,276.85,332.32,337.28,350.5,320.32
RSW,305,305.23,284.96,305.05,298.94,339.65
ONT,265,266.38,338.92,345.77,312.48,267.94
JAX,310,308.67,348.22,298.55,327.24,310.23
BUR,350,349.08,291.31,345.38,349.11,316.52
PBI,330,328.05,307.56,325.34,312.57,372.61
ABQ,330,330.74,352.35,299.94,317.38,349.61
PVD,465,465.75,346.1,338.73,333.14,378.33
OMA,325,325.22,354.32,488.2,371.58,343.30
CVG,335,336.38,476.06,291.5,501.79,526.25
OKC,330,329.87,402.86,400.97,399.51,404.62
TUS,380,377.97,362.5,240.09,382.72,410.06
RIC,345,345.98,405.58,351.8,399.31,345.99
MHT,390,389.54,347.19,391.63,393.79,209.89
ORF,370,371.58,401.04,394.77,229.31,354.33
SDF,330,327.24,390.52,508.35,343.93,401.06
MEM,455,453.73,476.22,386.02,389.27,356.35
LGB,385,384.73,246.53,472.46,340.79,408.20
ELP,215,216.22,379.58,332.34,388.4,371.61
GEG,340,342.2,356.71,378.02,373.58,414.90
BHM,400,401.09,398.31,335.09,483.51,395.81
DAY,335,335.11,370.88,343.09,366.82,367.76
TUL,305,306.68,414.47,388.78,338.31,519.97
RNO,340,339.13,342.14,355.54,356.13,322.21
ALB,380,380.26,422.73,339.81,412.43,374.99
BOI,380,382.6,348.19,415.24,403.03,373.24
ROC,325,323.25,365.17,415.85,587.76,436.53
ANC,355,355.97,542.02,350.27,352.08,427.77
HPN,395,393.07,355.74,315.99,359.31,374.27
GRR,395,394.07,407.34,395.73,379.74,433.47
LIT,585,586.36,405.62,397.84,417.87,599.32
SYR,295,295.18,417.74,273.03,413.46,321.26
CAK,390,390.94,329.67,280.33,307.16,382.50
CHS,255,254.03,428.24,404.97,410.86,433.22
OGG,410,412.62,272.27,306.45,422.05,259.63
ISP,300,297.66,309.56,422.72,300.79,306.69
DSM,360,361.92,428.19,408.79,267.86,423.69
GSP,370,371.62,376.97,374.34,380.25,406.10
PWM,170,171.84,384.74,421.65,401.24,393.16
GSO,245,245.81,390.39,382.59,425.29,394.47
TYS,410,409.32,443.72,377.07,363.21,156.57
COS,430,429.08,414.38,375.37,469.03,454.09
ICT,450,448.54,389.69,417.93,270.53,262.66
BLI,380,378.21,267.18,253.39,402.92,396.51
MSN,460,459.56,439.86,409.27,469.2,409.85
ACY,400,398.83,205.23,442.41,407.8,430.43
PNS,310,307.67,408.1,166.99,441.85,416.13
MDT,410,409.8,449.96,443.47,432.73,429.62
JAN,405,406.79,421.77,472.79,188.5,380.63
HSV,470,472.89,473.1,413.08,411.03,259.73
BTV,390,388.51,423.69,407.86,473.56,502.80
FAT,255,254.03,420.46,322.66,415.81,431.82
PHF,405,404.37,353.03,428.6,327.86,401.46
KOA,390,389.96,272.37,250.48,402.98,407.67
FNT,330,331.46,356.92,352.65,348.89,446.70
ABE,230,229.83,367.43,264.02,246.91,233.20
SAV,320,320.2,464.12,243.79,265.28,358.60
LIH,380,377.72,242.67,464.96,482.97,455.22
SRQ,400,397.86,323.15,347.99,358.82,389.21
LBB,300,303.84,360.4,404.47,323.01,336.20
XNA,330,331.75,514.17,357.14,379.17,374.11
MAF,460,460.21,349.01,329.27,351.72,476.69
LEX,485,484.85,435.16,160.12,428.7,151.72
MYR,450,447.2,269.73,515.61,231.96,359.64
ITO,190,188.86,217.89,234.26,467.35,487.50
MLI,460,459.28,421.64,369.57,401.52,365.35
CAE,330,327.6,510.5,495.02,519.94,536.28
AZA,425,424.4,173.32,321.19,477.43,209.70
FSD,400,403.61,411.9,355.57,408.09,420.20
AMA,350,348.12,360.32,401.81,392.33,354.32
CID,330,327.66,488.84,376.75,420.17,365.46
EUG,370,371.15,383.43,428.2,274.31,493.83
BTR,390,391.03,442.55,407.02,165.27,397.37
